station,lat,lon
AKSN,16.7978,104.0447
AMKO,17.8006,98.3583
APKN,11.4315,99.5557
ARNG,9.8516,98.6195
ATRG,7.4365,99.5030
AUPG,16.0162,98.8626
AUTT,17.7696,100.7255
AWLK,8.3772,98.7217
AYYA,14.3643,100.5768
BDNG,17.7008,103.2591
BGKN,18.3592,103.6553
BGSP,11.2598,99.4376
BKOK,18.0250,101.0679
BLAN,13.9881,100.1663
BLMG,12.9135,100.8825
BNMG,17.8506,103.5694
BNPE,17.6884,102.4743
BNPG,17.9673,104.2148
BNST,6.2614,101.2551
BOBR,16.0389,103.1185
BOKO,19.1490,101.1574
BRAI,15.0837,99.5219
BTHG,14.7566,105.4113
BTNG,5.7886,101.0733
BUYI,15.5826,102.4221
CHAN,12.6103,102.1024
CHDN,15.1826,101.1094
CHKG,20.2166,100.4037
CHKN,17.8980,101.6645
CHMA,18.8353,98.9700
CHPM,15.8055,102.0310
CHTK,17.2764,100.5996
CHYA,9.4091,99.1656
CKRI,14.3534,98.9571
CLPK,19.5795,101.0808
CMPN,10.4912,99.1264
CNBR,13.4060,100.9977
CTAK,17.2268,99.0649
CUUT,13.7360,100.5339
DACR,15.9445,104.6323
DBRM,14.5546,102.9319
DCMI,19.4139,98.9655
DCRI,20.1077,99.8817
DKTN,15.2090,101.7659
DLEI,17.4209,101.9326
DMSN,18.0536,97.9322
DNAN,19.1002,100.9497
DNPM,16.9551,104.4513
DPLK,16.8404,100.2571
DPNB,16.4394,101.1463
DPT9,13.7568,100.5732
DSAI,17.2800,101.1470
DSNI,8.9870,99.3234
DSNK,17.3051,103.8393
DSSK,15.1765,104.1564
DUDM,14.9101,105.0697
DUDN,16.9732,103.2694
DUTI,15.2459,99.5775
DYLA,6.4595,101.0798
ECMI,18.4737,98.7891
ENMA,14.5971,102.0022
JAHM,18.7073,99.5559
JKRT,15.0139,102.4131
KBCG,14.4746,103.5945
KKJN,12.9078,99.6484
KKOI,14.5864,100.9983
KKOR,16.6279,100.9956
KLKG,16.2133,99.7113
KMCE,16.5772,104.4185
KMIT,13.7278,100.7724
KNKN,16.4410,102.8379
KNSN,16.4216,103.5138
KNSW,15.9318,102.2807
